"rt","rotation_left","rotation_right","figure","no","gender","age","which_mirror","rt_rotation","timeSecs","score","ans","time","mirror","instruction","rotation","id","condition","File","ratio","dimensions","area","shape","error","answer","block","rotation_cat"
1.56849138159305,181,211,"cooper_figures\F15.png",2,"female",22,"w",NA,1461413569.705,1,"True","2016-04-23 14:12:49","True",NA,30,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
1.2634054615628,317,317,"cooper_figures\F15.png",4,"female",22,"o",NA,1461413574.067,1,"False","2016-04-23 14:12:54","False",NA,0,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
3.26087246579118,236,401,"cooper_figures\E11.png",5,"female",22,"w",NA,1461413577.349,1,"False","2016-04-23 14:12:57","False",NA,165,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
1.42740655969828,5,20,"cooper_figures\G16.png",6,"female",22,"o",NA,1461413578.783,1,"False","2016-04-23 14:12:58","False",NA,15,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
5.87407551868819,87,252,"cooper_figures\B8.png",8,"female",22,"o",NA,1461413587.78,1,"True","2016-04-23 14:13:07","True",NA,165,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
3.7203175930772,342,522,"cooper_figures\G16.png",9,"female",22,"o",NA,1461413591.509,1,"False","2016-04-23 14:13:11","False",NA,180,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
4.90132863610052,188,218,"cooper_figures\E11.png",11,"female",22,"o",NA,1461413599.591,1,"True","2016-04-23 14:13:19","True",NA,30,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
2.59634278714657,67,67,"cooper_figures\G16.png",13,"female",22,"w",NA,1461413607.353,1,"True","2016-04-23 14:13:27","True",NA,0,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
2.5070845191367,317,317,"cooper_figures\C8.png",14,"female",22,"o",NA,1461413609.881,1,"True","2016-04-23 14:13:29","True",NA,0,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
2.44967151898891,238,253,"cooper_figures\D12.png",20,"female",22,"w",NA,1461413683.858,1,"False","2016-04-23 14:14:43","False",NA,15,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
2.93663661950268,345,525,"cooper_figures\A6.png",22,"female",22,"w",NA,1461413689.296,1,"True","2016-04-23 14:14:49","True",NA,180,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
4.1773789760191,131,311,"cooper_figures\B8.png",25,"female",22,"w",NA,1461413697.553,1,"False","2016-04-23 14:14:57","False",NA,180,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
5.66433466854505,349,364,"cooper_figures\E11.png",35,"female",22,"o",NA,1461413740.825,1,"False","2016-04-23 14:15:40","False",NA,15,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
8.24569801287726,331,496,"cooper_figures\C8.png",36,"female",22,"w",NA,1461413749.091,1,"False","2016-04-23 14:15:49","False",NA,165,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
3.53654347662814,161,311,"cooper_figures\B8.png",37,"female",22,"w",NA,1461413752.632,1,"False","2016-04-23 14:15:52","False",NA,150,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
6.80456589232199,338,488,"cooper_figures\F15.png",38,"female",22,"w",NA,1461413759.45,1,"True","2016-04-23 14:15:59","True",NA,150,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
1.97941529401578,86,116,"cooper_figures\E11.png",39,"female",22,"o",NA,1461413761.442,1,"False","2016-04-23 14:16:01","False",NA,30,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
1.92070094216615,328,358,"cooper_figures\C8.png",40,"female",22,"w",NA,1461413812.317,1,"False","2016-04-23 14:16:52","False",NA,30,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
2.80320980097167,245,410,"cooper_figures\C8.png",42,"female",22,"w",NA,1461413817.617,1,"True","2016-04-23 14:16:57","True",NA,165,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
1.32111781975254,58,73,"cooper_figures\F15.png",43,"female",22,"o",NA,1461413818.951,1,"False","2016-04-23 14:16:58","False",NA,15,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
2.49596679350361,24,39,"cooper_figures\G16.png",44,"female",22,"o",NA,1461413821.459,1,"True","2016-04-23 14:17:01","True",NA,15,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
2.76030368567444,214,394,"cooper_figures\G16.png",51,"female",22,"o",NA,1461413837.592,1,"True","2016-04-23 14:17:17","True",NA,180,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
3.79338530171663,38,218,"cooper_figures\C8.png",54,"female",22,"o",NA,1461413845.393,1,"True","2016-04-23 14:17:25","True",NA,180,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"long"
1.8457678060513,111,126,"cooper_figures\H20.png",59,"female",22,"o",NA,1461413853.179,1,"False","2016-04-23 14:17:33","False",NA,15,108,"pretest","108 Cooper (2016-04-23 14-05-33).csv",NA,NA,NA,NA,NA,NA,NA,"short"
